name,dept,adjustedcount,homepage,scholarid,profile_url,image_url,affiliation_from_scholar,keywords,top_papers
Luc Van Gool,ETH Zurich,113.469773,http://www.vision.ee.ethz.ch/en/members/get_member.cgi?id=1,TwMib_QAAAAJ,https://scholar.google.com/citations?user=TwMib_QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TwMib_QAAAAJ&citpid=3,"professor computer vision INSAIT Sofia University, em. KU Leuven, em. ETHZ, Toyota Lab TRACE",computer vision; machine learning; AI; autonomous cars; cultural heritage,"BSurf: Speeded up robust features,?�’Computer Vision ECCV 2006 (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=TwMib_QAAAAJ&citation_for_view=TwMib_QAAAAJ:hSRAE-fF4OAC); Speeded-up robust features (SURF) (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=TwMib_QAAAAJ&citation_for_view=TwMib_QAAAAJ:isU91gLudPYC); The pascal visual object classes (voc) challenge (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=TwMib_QAAAAJ&citation_for_view=TwMib_QAAAAJ:Y0pCki6q_DkC)"
Dacheng Tao,Nanyang Technological University,92.59715,https://dr.ntu.edu.sg/cris/rp/rp02343,RwlJNLcAAAAJ,https://scholar.google.com/citations?user=RwlJNLcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RwlJNLcAAAAJ&citpid=2,Nanyang Technological University,artificial intelligence; machine learning; computer vision; image processing; data mining,Knowledge distillation: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RwlJNLcAAAAJ&citation_for_view=RwlJNLcAAAAJ:UO8fSLLLPykC); Dehazenet: An end-to-end system for single image haze removal (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RwlJNLcAAAAJ&citation_for_view=RwlJNLcAAAAJ:RmcNAhKkducC); A survey on vision transformer (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RwlJNLcAAAAJ&citation_for_view=RwlJNLcAAAAJ:bO_hriczGZwC)
Daniela Rus,Massachusetts Institute of Technology,87.955489,https://www.csail.mit.edu/user/876,910z20QAAAAJ,https://scholar.google.com/citations?user=910z20QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=910z20QAAAAJ&citpid=3,"Andrew (1956) and Erna Viterbi Professor of Computer Science, MIT",Robotics; Wireless Networks; Distributed Computing,"Design, fabrication and control of soft robots (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=910z20QAAAAJ&citation_for_view=910z20QAAAAJ:cNe27ouKFcQC); Lio-sam: Tightly-coupled lidar inertial odometry via smoothing and mapping (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=910z20QAAAAJ&citation_for_view=910z20QAAAAJ:LzOrNEA7mwcC); On-demand high-capacity ride-sharing via dynamic trip-vehicle assignment (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=910z20QAAAAJ&citation_for_view=910z20QAAAAJ:J4E9jCG1tHUC)"
Michael I. Jordan,Univ. of California - Berkeley,83.935499,http://www.cs.berkeley.edu/~jordan,yxUduqMAAAAJ,https://scholar.google.com/citations?user=yxUduqMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yxUduqMAAAAJ&citpid=10,"Professor of Electrical Engineering and Computer Sciences and Professor of Statistics, UC Berkeley",machine learning; computer science; statistics; artificial intelligence; optimization,"Latent Dirichlet Allocation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yxUduqMAAAAJ&citation_for_view=yxUduqMAAAAJ:u5HHmVD_uO8C); On spectral clustering: Analysis and an algorithm (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yxUduqMAAAAJ&citation_for_view=yxUduqMAAAAJ:H2XcuePHLsAC); Machine learning: Trends, perspectives, and prospects (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yxUduqMAAAAJ&citation_for_view=yxUduqMAAAAJ:jKT558fuBk8C)"
Sergey Levine,Univ. of California - Berkeley,80.00855,https://people.eecs.berkeley.edu/~svlevine,8R35rCwAAAAJ,https://scholar.google.com/citations?user=8R35rCwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8R35rCwAAAAJ&citpid=5,"UC Berkeley, Physical Intelligence",Machine Learning; Robotics; Reinforcement Learning,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8R35rCwAAAAJ&citation_for_view=8R35rCwAAAAJ:ZzlSgRqYykMC); Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8R35rCwAAAAJ&citation_for_view=8R35rCwAAAAJ:7BrZ7Jt4UNcC); Trust region policy optimization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8R35rCwAAAAJ&citation_for_view=8R35rCwAAAAJ:PVjk1bu6vJQC)
Philip S. Yu,University of Illinois at Chicago,79.27663,https://www.cs.uic.edu/PSYu,D0lL1r0AAAAJ,https://scholar.google.com/citations?user=D0lL1r0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D0lL1r0AAAAJ&citpid=2,"Professor of Computer Science, University of Illinons at Chicago",Data mining; Database; Privacy,A comprehensive survey on graph neural networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0lL1r0AAAAJ&citation_for_view=D0lL1r0AAAAJ:bGhaNo82unsC); Top 10 algorithms in data mining (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0lL1r0AAAAJ&citation_for_view=D0lL1r0AAAAJ:W7OEmFMy1HYC); Data mining: an overview from a database perspective (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=D0lL1r0AAAAJ&citation_for_view=D0lL1r0AAAAJ:u5HHmVD_uO8C)
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,78.736191,http://hanj.cs.illinois.edu,Kv9AbjMAAAAJ,https://scholar.google.com/citations?user=Kv9AbjMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Kv9AbjMAAAAJ&citpid=2,"Abel Bliss Professor of Computer Science, University of Illinois",data mining; database systems; data warehousing; information networks,Data mining: concepts and techniques (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Kv9AbjMAAAAJ&citation_for_view=Kv9AbjMAAAAJ:31TvLzYri2IC); Mining frequent patterns without candidate generation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Kv9AbjMAAAAJ&citation_for_view=Kv9AbjMAAAAJ:bIWuQ2t9ofkC); Data mining: an overview from a database perspective (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Kv9AbjMAAAAJ&citation_for_view=Kv9AbjMAAAAJ:d1gkVwhDpl0C)
Heng Huang,University of Maryland - College Park,74.73502,http://www.cs.umd.edu/~heng,4OqLaDwAAAAJ,https://scholar.google.com/citations?user=4OqLaDwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4OqLaDwAAAAJ&citpid=2,"Brendan Iribe Endowed Professor in Computer Science, University Maryland College Park",Machine Learning; AI; Biomedical Data Science; Computer Vision,"Efficient and robust feature selection via joint ??, 1-norms minimization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4OqLaDwAAAAJ&citation_for_view=4OqLaDwAAAAJ:EkHepimYqZsC); Clustering and projected clustering with adaptive neighbors (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4OqLaDwAAAAJ&citation_for_view=4OqLaDwAAAAJ:_Ybze24A_UAC); The constrained laplacian rank algorithm for graph-based clustering (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4OqLaDwAAAAJ&citation_for_view=4OqLaDwAAAAJ:epqYDVWIO7EC)"
Trevor Darrell,Univ. of California - Berkeley,74.4200932,https://people.eecs.berkeley.edu/~trevor,bh-uRFMAAAAJ,https://scholar.google.com/citations?user=bh-uRFMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bh-uRFMAAAAJ&citpid=3,"Professor of Computer Science, U.C. Berkeley",Computer Vision; Artificial Intelligence; AI; Machine Learning; Deep Learning,Fully convolutional networks for semantic segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=bh-uRFMAAAAJ&citation_for_view=bh-uRFMAAAAJ:Xz60mAmATU4C); Rich feature hierarchies for accurate object detection and semantic segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=bh-uRFMAAAAJ&citation_for_view=bh-uRFMAAAAJ:VN7nJs4JPk0C); Caffe: Convolutional architecture for fast feature embedding (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=bh-uRFMAAAAJ&citation_for_view=bh-uRFMAAAAJ:k_7cPK9k7w8C)
Vijay Kumar 0001,University of Pennsylvania,73.267579,http://www.kumarrobotics.org,FUOEBDUAAAAJ,https://scholar.google.com/citations?user=FUOEBDUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FUOEBDUAAAAJ&citpid=2,"Professor of Mechanical Engineering and Applied Mechanics, University of Pennsylvania",Robotics,"Minimum snap trajectory generation and control for quadrotors (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FUOEBDUAAAAJ&citation_for_view=FUOEBDUAAAAJ:zYLM7Y9cAGgC); Multirotor aerial vehicles: Modeling, estimation, and control of quadrotor (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FUOEBDUAAAAJ&citation_for_view=FUOEBDUAAAAJ:W7OEmFMy1HYC); Robotic grasping and contact: A review (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FUOEBDUAAAAJ&citation_for_view=FUOEBDUAAAAJ:2osOgNQ5qMEC)"
