name,dept,adjustedcount,homepage,scholarid,profile_url
Luc Van Gool,ETH Zurich,113.469773,http://www.vision.ee.ethz.ch/en/members/get_member.cgi?id=1,TwMib_QAAAAJ,https://scholar.google.com/citations?user=TwMib_QAAAAJ
Dacheng Tao,Nanyang Technological University,92.59715,https://dr.ntu.edu.sg/cris/rp/rp02343,RwlJNLcAAAAJ,https://scholar.google.com/citations?user=RwlJNLcAAAAJ
Daniela Rus,Massachusetts Institute of Technology,87.955489,https://www.csail.mit.edu/user/876,910z20QAAAAJ,https://scholar.google.com/citations?user=910z20QAAAAJ
Michael I. Jordan,Univ. of California - Berkeley,83.93549900000001,http://www.cs.berkeley.edu/~jordan,yxUduqMAAAAJ,https://scholar.google.com/citations?user=yxUduqMAAAAJ
Sergey Levine,Univ. of California - Berkeley,80.00855,https://people.eecs.berkeley.edu/~svlevine,8R35rCwAAAAJ,https://scholar.google.com/citations?user=8R35rCwAAAAJ
Philip S. Yu,University of Illinois at Chicago,79.27663,https://www.cs.uic.edu/PSYu,D0lL1r0AAAAJ,https://scholar.google.com/citations?user=D0lL1r0AAAAJ
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,78.736191,http://hanj.cs.illinois.edu,Kv9AbjMAAAAJ,https://scholar.google.com/citations?user=Kv9AbjMAAAAJ
Heng Huang,University of Maryland - College Park,74.73502,http://www.cs.umd.edu/~heng,4OqLaDwAAAAJ,https://scholar.google.com/citations?user=4OqLaDwAAAAJ
Trevor Darrell,Univ. of California - Berkeley,74.4200932,https://people.eecs.berkeley.edu/~trevor,bh-uRFMAAAAJ,https://scholar.google.com/citations?user=bh-uRFMAAAAJ
Vijay Kumar 0001,University of Pennsylvania,73.267579,http://www.kumarrobotics.org,FUOEBDUAAAAJ,https://scholar.google.com/citations?user=FUOEBDUAAAAJ
Dan Roth,University of Pennsylvania,72.813333,http://www.cis.upenn.edu/~danroth,WHOHV3AAAAAJ,https://scholar.google.com/citations?user=WHOHV3AAAAAJ
